"Table 1: Life expectancy and healthy life expectancy in Scotland, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S92000003,Scotland,male,less than 1,77.02,76.93,77.12,62.32,61.90,62.74,80.91,,
S92000003,Scotland,male,1 to 4,76.29,76.20,76.38,61.57,61.15,61.99,80.71,,
S92000003,Scotland,male,5 to 9,72.34,72.25,72.43,57.76,57.34,58.18,79.85,,
S92000003,Scotland,male,10 to 14,67.37,67.28,67.46,53.01,52.59,53.42,78.68,,
S92000003,Scotland,male,15 to 19,62.40,62.31,62.49,48.29,47.89,48.70,77.39,,
S92000003,Scotland,male,20 to 24,57.52,57.43,57.61,43.71,43.31,44.10,75.98,,
S92000003,Scotland,male,25 to 29,52.68,52.59,52.76,39.22,38.83,39.61,74.46,,
S92000003,Scotland,male,30 to 34,47.92,47.83,48.00,34.89,34.51,35.27,72.81,,
S92000003,Scotland,male,35 to 39,43.24,43.16,43.32,30.71,30.35,31.08,71.03,,
S92000003,Scotland,male,40 to 44,38.63,38.55,38.70,26.70,26.35,27.05,69.12,,
S92000003,Scotland,male,45 to 49,34.15,34.08,34.22,22.90,22.56,23.24,67.05,,
S92000003,Scotland,male,50 to 54,29.75,29.68,29.82,19.27,18.94,19.61,64.78,,
S92000003,Scotland,male,55 to 59,25.44,25.38,25.51,15.86,15.54,16.19,62.36,,
S92000003,Scotland,male,60 to 64,21.30,21.24,21.37,12.74,12.42,13.05,59.80,,
S92000003,Scotland,male,65 to 69,17.42,17.35,17.48,9.96,9.65,10.27,57.18,,
S92000003,Scotland,male,70 to 74,13.84,13.78,13.90,7.50,7.19,7.82,54.21,,
S92000003,Scotland,male,75 to 79,10.64,10.58,10.69,5.42,5.08,5.76,50.92,,
S92000003,Scotland,male,80 to 84,7.88,7.83,7.93,3.74,3.42,4.06,47.43,,
S92000003,Scotland,male,85 to 89,5.63,5.57,5.69,2.47,2.20,2.74,43.85,,
S92000003,Scotland,male,90+,3.99,3.90,4.07,1.62,1.37,1.87,40.65,,
S92000003,Scotland,female,less than 1,81.08,80.99,81.16,62.64,62.15,63.12,77.26,,
S92000003,Scotland,female,1 to 4,80.32,80.23,80.40,61.90,61.41,62.38,77.07,,
S92000003,Scotland,female,5 to 9,76.36,76.28,76.44,58.24,57.77,58.72,76.28,,
S92000003,Scotland,female,10 to 14,71.38,71.30,71.45,53.66,53.20,54.13,75.19,,
S92000003,Scotland,female,15 to 19,66.41,66.33,66.49,49.12,48.66,49.57,73.96,,
S92000003,Scotland,female,20 to 24,61.47,61.39,61.55,44.67,44.23,45.10,72.66,,
S92000003,Scotland,female,25 to 29,56.54,56.47,56.62,40.30,39.87,40.72,71.27,,
S92000003,Scotland,female,30 to 34,51.64,51.56,51.72,36.01,35.60,36.42,69.73,,
S92000003,Scotland,female,35 to 39,46.80,46.73,46.87,31.85,31.45,32.24,68.05,,
S92000003,Scotland,female,40 to 44,42.05,41.98,42.12,27.85,27.46,28.23,66.23,,
S92000003,Scotland,female,45 to 49,37.36,37.29,37.43,24.01,23.64,24.38,64.26,,
S92000003,Scotland,female,50 to 54,32.74,32.67,32.81,20.34,19.98,20.70,62.12,,
S92000003,Scotland,female,55 to 59,28.23,28.17,28.30,16.90,16.55,17.25,59.85,,
S92000003,Scotland,female,60 to 64,23.87,23.81,23.93,13.70,13.36,14.05,57.41,,
S92000003,Scotland,female,65 to 69,19.69,19.63,19.75,10.71,10.37,11.05,54.40,,
S92000003,Scotland,female,70 to 74,15.75,15.69,15.80,8.02,7.68,8.36,50.91,,
S92000003,Scotland,female,75 to 79,12.15,12.10,12.20,5.72,5.38,6.07,47.09,,
S92000003,Scotland,female,80 to 84,9.01,8.96,9.06,3.90,3.59,4.21,43.29,,
S92000003,Scotland,female,85 to 89,6.36,6.31,6.40,2.54,2.28,2.80,39.92,,
S92000003,Scotland,female,90+,4.39,4.32,4.45,1.65,1.41,1.89,37.61,,
,,,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,,,
