"Table 3: Life expectancy and healthy life expectancy in NHS health boards, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Health board,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S08000015,Ayrshire and Arran,male,less than 1,76.55,76.17,76.92,59.16,58.05,60.27,77.28,,
S08000015,Ayrshire and Arran,male,1 to 4,75.77,75.41,76.13,58.47,57.35,59.58,77.16,,
S08000015,Ayrshire and Arran,male,5 to 9,71.87,71.52,72.22,55.06,53.97,56.15,76.61,,
S08000015,Ayrshire and Arran,male,10 to 14,66.87,66.52,67.22,50.65,49.60,51.70,75.74,,
S08000015,Ayrshire and Arran,male,15 to 19,61.90,61.55,62.26,46.23,45.22,47.24,74.69,,
S08000015,Ayrshire and Arran,male,20 to 24,56.95,56.60,57.30,41.82,40.85,42.79,73.43,,
S08000015,Ayrshire and Arran,male,25 to 29,52.16,51.82,52.50,37.54,36.61,38.48,71.98,,
S08000015,Ayrshire and Arran,male,30 to 34,47.47,47.14,47.80,33.38,32.48,34.28,70.32,,
S08000015,Ayrshire and Arran,male,35 to 39,42.92,42.61,43.22,29.37,28.51,30.23,68.44,,
S08000015,Ayrshire and Arran,male,40 to 44,38.49,38.20,38.77,25.54,24.72,26.36,66.35,,
S08000015,Ayrshire and Arran,male,45 to 49,34.15,33.88,34.41,21.87,21.08,22.66,64.04,,
S08000015,Ayrshire and Arran,male,50 to 54,29.89,29.64,30.13,18.38,17.62,19.14,61.50,,
S08000015,Ayrshire and Arran,male,55 to 59,25.61,25.37,25.84,15.04,14.31,15.76,58.71,,
S08000015,Ayrshire and Arran,male,60 to 64,21.38,21.16,21.60,11.89,11.20,12.59,55.63,,
S08000015,Ayrshire and Arran,male,65 to 69,17.38,17.17,17.59,9.07,8.41,9.74,52.20,,
S08000015,Ayrshire and Arran,male,70 to 74,13.74,13.54,13.94,6.65,5.99,7.31,48.39,,
S08000015,Ayrshire and Arran,male,75 to 79,10.57,10.37,10.76,4.66,3.99,5.33,44.10,,
S08000015,Ayrshire and Arran,male,80 to 84,7.77,7.58,7.95,3.05,2.40,3.69,39.22,,
S08000015,Ayrshire and Arran,male,85 to 89,5.58,5.37,5.79,1.87,1.35,2.40,33.52,,
S08000015,Ayrshire and Arran,male,90+,4.07,3.76,4.37,1.08,0.60,1.55,26.43,,
S08000015,Ayrshire and Arran,female,less than 1,80.43,80.10,80.77,59.77,58.55,60.99,74.31,,
S08000015,Ayrshire and Arran,female,1 to 4,79.75,79.44,80.05,59.10,57.88,60.33,74.11,,
S08000015,Ayrshire and Arran,female,5 to 9,75.76,75.45,76.07,55.51,54.31,56.71,73.27,,
S08000015,Ayrshire and Arran,female,10 to 14,70.77,70.47,71.08,51.06,49.90,52.21,72.14,,
S08000015,Ayrshire and Arran,female,15 to 19,65.80,65.49,66.10,46.66,45.55,47.77,70.92,,
S08000015,Ayrshire and Arran,female,20 to 24,60.88,60.58,61.18,42.38,41.33,43.43,69.61,,
S08000015,Ayrshire and Arran,female,25 to 29,56.03,55.74,56.32,38.22,37.22,39.23,68.22,,
S08000015,Ayrshire and Arran,female,30 to 34,51.19,50.91,51.48,34.16,33.20,35.13,66.73,,
S08000015,Ayrshire and Arran,female,35 to 39,46.38,46.11,46.66,30.21,29.29,31.14,65.13,,
S08000015,Ayrshire and Arran,female,40 to 44,41.66,41.40,41.92,26.43,25.54,27.31,63.43,,
S08000015,Ayrshire and Arran,female,45 to 49,37.07,36.82,37.32,22.84,21.99,23.68,61.61,,
