Table 5: Life expectancy and healthy life expectancy in deprivation deciles  2015-2017,,,,,,,,,,,,
,,,,,,,,,,,,
SIMD decile (SIMD 2016),sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,,
decile 1 most deprived),male,less than 1,69.69,69.38,70.01,49.34,47.88,50.79,70.79,,,
decile 1 most deprived),male,1 to 4,69.02,68.71,69.32,48.57,47.11,50.03,70.37,,,
decile 1 most deprived),male,5 to 9,65.05,64.75,65.35,44.68,43.23,46.14,68.69,,,
decile 1 most deprived),male,10 to 14,60.10,59.80,60.40,39.89,38.45,41.34,66.38,,,
decile 1 most deprived),male,15 to 19,55.14,54.84,55.43,35.16,33.73,36.59,63.77,,,
decile 1 most deprived),male,20 to 24,50.28,49.99,50.57,30.55,29.13,31.96,60.75,,,
decile 1 most deprived),male,25 to 29,45.48,45.19,45.77,26.13,24.73,27.53,57.45,,,
decile 1 most deprived),male,30 to 34,40.89,40.61,41.18,22.01,20.64,23.37,53.81,,,
decile 1 most deprived),male,35 to 39,36.48,36.21,36.75,18.29,16.95,19.63,50.14,,,
decile 1 most deprived),male,40 to 44,32.27,32.01,32.53,15.05,13.78,16.33,46.65,,,
decile 1 most deprived),male,45 to 49,28.38,28.13,28.62,12.25,11.00,13.49,43.16,,,
decile 1 most deprived),male,50 to 54,24.65,24.42,24.88,9.76,8.56,10.95,39.57,,,
decile 1 most deprived),male,55 to 59,20.97,20.76,21.19,7.58,6.44,8.72,36.13,,,
decile 1 most deprived),male,60 to 64,17.49,17.28,17.69,5.83,4.75,6.92,33.35,,,
decile 1 most deprived),male,65 to 69,14.32,14.13,14.51,4.53,3.49,5.57,31.66,,,
decile 1 most deprived),male,70 to 74,11.40,11.21,11.58,3.36,2.27,4.45,29.47,,,
decile 1 most deprived),male,75 to 79,8.97,8.80,9.15,2.47,1.26,3.68,27.55,,,
decile 1 most deprived),male,80 to 84,6.74,6.57,6.92,1.76,0.65,2.87,26.09,,,
decile 1 most deprived),male,85 to 89,5.19,4.99,5.39,1.37,0.41,2.34,26.47,,,
decile 1 most deprived),male,90+,4.02,3.70,4.33,1.26,0.20,2.32,31.36,,,
decile 1 most deprived),female,less than 1,75.72,75.41,76.02,49.57,47.77,51.37,65.47,,,
decile 1 most deprived),female,1 to 4,75.05,74.76,75.34,48.87,47.06,50.69,65.12,,,
decile 1 most deprived),female,5 to 9,71.09,70.80,71.38,45.31,43.52,47.11,63.74,,,
decile 1 most deprived),female,10 to 14,66.14,65.86,66.42,40.92,39.15,42.68,61.87,,,
decile 1 most deprived),female,15 to 19,61.17,60.89,61.45,36.57,34.84,38.30,59.79,,,
decile 1 most deprived),female,20 to 24,56.26,55.98,56.54,32.41,30.72,34.11,57.62,,,
decile 1 most deprived),female,25 to 29,51.35,51.08,51.63,28.41,26.78,30.04,55.32,,,
decile 1 most deprived),female,30 to 34,46.52,46.25,46.79,24.56,22.98,26.15,52.80,,,
decile 1 most deprived),female,35 to 39,41.83,41.56,42.09,21.05,19.51,22.59,50.34,,,
decile 1 most deprived),female,40 to 44,37.39,37.13,37.64,17.93,16.44,19.43,47.97,,,
decile 1 most deprived),female,45 to 49,33.05,32.81,33.29,15.13,13.69,16.58,45.79,,,
decile 1 most deprived),female,50 to 54,28.79,28.56,29.02,12.62,11.26,13.98,43.83,,,
decile 1 most deprived),female,55 to 59,24.61,24.39,24.83,10.42,9.14,11.71,42.36,,,
decile 1 most deprived),female,60 to 64,20.65,20.44,20.86,8.58,7.34,9.81,41.54,,,
decile 1 most deprived),female,65 to 69,16.98,16.78,17.17,6.85,5.66,8.04,40.35,,,
decile 1 most deprived),female,70 to 74,13.64,13.46,13.82,5.31,4.13,6.50,38.94,,,
decile 1 most deprived),female,75 to 79,10.73,10.56,10.89,4.10,2.88,5.32,38.21,,,
decile 1 most deprived),female,80 to 84,8.12,7.96,8.28,3.08,1.99,4.17,37.93,,,
decile 1 most deprived),female,85 to 89,6.06,5.90,6.23,2.41,1.45,3.37,39.72,,,
decile 1 most deprived),female,90+,4.24,4.02,4.45,1.85,0.91,2.79,43.70,,,
decile 2,male,less than 1,72.64,72.32,72.96,51.70,50.16,53.24,71.18,,,
decile 2,male,1 to 4,72.04,71.74,72.34,51.06,49.51,52.61,70.88,,,
decile 2,male,5 to 9,68.10,67.80,68.40,47.42,45.88,48.95,69.63,,,
decile 2,male,10 to 14,63.13,62.84,63.43,42.88,41.38,44.39,67.93,,,
decile 2,male,15 to 19,58.20,57.91,58.49,38.45,36.97,39.94,66.07,,,
decile 2,male,20 to 24,53.32,53.03,53.61,34.15,32.70,35.60,64.06,,,
decile 2,male,25 to 29,48.56,48.28,48.84,30.05,28.64,31.45,61.87,,,
decile 2,male,30 to 34,43.89,43.61,44.16,26.12,24.76,27.48,59.52,,,
decile 2,male,35 to 39,39.32,39.05,39.58,22.40,21.10,23.70,56.97,,,
decile 2,male,40 to 44,34.94,34.68,35.19,18.94,17.69,20.19,54.21,,,
decile 2,male,45 to 49,30.75,30.51,30.98,15.75,14.57,16.94,51.24,,,
decile 2,male,50 to 54,26.66,26.44,26.89,12.81,11.68,13.94,48.05,,,
decile 2,male,55 to 59,22.68,22.46,22.89,10.11,9.02,11.20,44.58,,,
decile 2,male,60 to 64,18.84,18.63,19.04,7.68,6.62,8.73,40.75,,,
decile 2,male,65 to 69,15.38,15.19,15.57,5.61,4.57,6.65,36.50,,,
decile 2,male,70 to 74,12.23,12.05,12.41,3.89,2.80,4.99,31.83,,,
decile 2,male,75 to 79,9.46,9.29,9.63,2.53,1.34,3.72,26.73,,,
decile 2,male,80 to 84,7.23,7.06,7.40,1.51,0.24,2.78,20.91,,,
decile 2,male,85 to 89,5.43,5.23,5.63,0.78,-0.17,1.73,14.33,,,
decile 2,male,90+,4.22,3.92,4.53,0.27,-0.40,0.94,6.38,,,
decile 2,female,less than 1,77.86,77.58,78.14,55.03,53.48,56.58,70.67,,,
decile 2,female,1 to 4,77.12,76.86,77.38,54.21,52.65,55.77,70.29,,,
decile 2,female,5 to 9,73.14,72.87,73.40,50.23,48.67,51.79,68.68,,,
decile 2,female,10 to 14,68.14,67.88,68.40,45.41,43.87,46.95,66.64,,,
decile 2,female,15 to 19,63.18,62.92,63.44,40.78,39.27,42.30,64.55,,,
decile 2,female,20 to 24,58.24,57.99,58.50,36.37,34.90,37.85,62.45,,,
decile 2,female,25 to 29,53.33,53.08,53.59,32.19,30.75,33.63,60.36,,,
decile 2,female,30 to 34,48.47,48.22,48.72,28.20,26.81,29.60,58.19,,,
decile 2,female,35 to 39,43.65,43.41,43.90,24.44,23.09,25.79,55.98,,,
decile 2,female,40 to 44,39.01,38.78,39.25,21.02,19.73,22.32,53.88,,,
decile 2,female,45 to 49,34.46,34.23,34.68,17.85,16.64,19.05,51.80,,,
decile 2,female,50 to 54,29.98,29.76,30.20,14.91,13.76,16.07,49.74,,,
decile 2,female,55 to 59,25.67,25.47,25.88,12.29,11.19,13.39,47.88,,,
decile 2,female,60 to 64,21.55,21.36,21.75,9.98,8.94,11.01,46.29,,,
decile 2,female,65 to 69,17.67,17.48,17.85,7.87,6.88,8.86,44.57,,,
decile 2,female,70 to 74,14.09,13.92,14.26,6.00,5.01,7.00,42.60,,,
decile 2,female,75 to 79,10.97,10.81,11.13,4.47,3.45,5.48,40.70,,,
decile 2,female,80 to 84,8.35,8.21,8.50,3.28,2.32,4.24,39.28,,,
decile 2,female,85 to 89,6.03,5.88,6.18,2.30,1.49,3.11,38.14,,,
decile 2,female,90+,4.24,4.04,4.43,1.65,0.86,2.43,38.86,,,
decile 3,male,less than 1,74.36,74.05,74.66,57.89,56.55,59.23,77.86,,,
decile 3,male,1 to 4,73.76,73.47,74.05,57.21,55.86,58.55,77.56,,,
decile 3,male,5 to 9,69.83,69.54,70.11,53.29,51.94,54.63,76.31,,,
decile 3,male,10 to 14,64.83,64.55,65.12,48.43,47.10,49.77,74.71,,,
decile 3,male,15 to 19,59.86,59.58,60.15,43.69,42.37,45.02,72.99,,,
decile 3,male,20 to 24,54.92,54.64,55.21,39.07,37.77,40.37,71.14,,,
decile 3,male,25 to 29,50.11,49.83,50.39,34.69,33.42,35.96,69.23,,,
decile 3,male,30 to 34,45.36,45.08,45.63,30.44,29.21,31.68,67.12,,,
decile 3,male,35 to 39,40.81,40.55,41.07,26.49,25.29,27.68,64.90,,,
decile 3,male,40 to 44,36.27,36.02,36.52,22.75,21.62,23.88,62.73,,,
decile 3,male,45 to 49,31.93,31.70,32.17,19.32,18.26,20.39,60.51,,,
decile 3,male,50 to 54,27.81,27.58,28.03,16.13,15.11,17.15,58.01,,,
decile 3,male,55 to 59,23.72,23.51,23.93,13.18,12.20,14.16,55.56,,,
decile 3,male,60 to 64,19.82,19.62,20.02,10.60,9.65,11.55,53.48,,,
decile 3,male,65 to 69,16.13,15.95,16.32,8.47,7.54,9.40,52.48,,,
decile 3,male,70 to 74,12.81,12.64,12.99,6.54,5.60,7.47,51.00,,,
decile 3,male,75 to 79,10.01,9.85,10.18,4.94,3.96,5.92,49.34,,,
decile 3,male,80 to 84,7.40,7.24,7.56,3.56,2.59,4.53,48.11,,,
decile 3,male,85 to 89,5.37,5.20,5.55,2.60,1.78,3.42,48.41,,,
decile 3,male,90+,3.90,3.63,4.16,2.04,1.25,2.83,52.36,,,
decile 3,female,less than 1,79.02,78.74,79.30,55.39,53.51,57.26,70.09,,,
decile 3,female,1 to 4,78.28,78.02,78.55,54.74,52.86,56.61,69.92,,,
decile 3,female,5 to 9,74.34,74.07,74.60,51.44,49.62,53.26,69.20,,,
decile 3,female,10 to 14,69.37,69.11,69.63,47.30,45.57,49.04,68.19,,,
