Table 6: Life expectancy and healthy life expectancy by Urban Rural classification 2015-2017,,,,,,,,,,,,
,,,,,,,,,,,,
Urban Rural (2016) code,Urban rural (2016) six fold classification,sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
UR1,Large Urban Areas,male,less than 1,75.89,75.73,76.06,60.90,60.01,61.79,80.24,,
UR1,Large Urban Areas,male,1 to 4,75.21,75.06,75.37,60.18,59.29,61.07,80.01,,
UR1,Large Urban Areas,male,5 to 9,71.25,71.10,71.41,56.33,55.44,57.21,79.05,,
UR1,Large Urban Areas,male,10 to 14,66.29,66.13,66.44,51.54,50.66,52.42,77.76,,
UR1,Large Urban Areas,male,15 to 19,61.32,61.17,61.47,46.82,45.95,47.68,76.34,,
UR1,Large Urban Areas,male,20 to 24,56.42,56.27,56.57,42.20,41.34,43.05,74.79,,
UR1,Large Urban Areas,male,25 to 29,51.54,51.39,51.69,37.67,36.83,38.51,73.09,,
UR1,Large Urban Areas,male,30 to 34,46.73,46.59,46.88,33.29,32.46,34.11,71.23,,
UR1,Large Urban Areas,male,35 to 39,42.02,41.87,42.16,29.09,28.28,29.89,69.22,,
UR1,Large Urban Areas,male,40 to 44,37.42,37.28,37.56,25.13,24.35,25.92,67.17,,
UR1,Large Urban Areas,male,45 to 49,33.03,32.90,33.17,21.49,20.73,22.26,65.07,,
UR1,Large Urban Areas,male,50 to 54,28.77,28.65,28.90,18.06,17.31,18.81,62.76,,
UR1,Large Urban Areas,male,55 to 59,24.60,24.48,24.72,14.83,14.09,15.56,60.27,,
UR1,Large Urban Areas,male,60 to 64,20.58,20.46,20.70,11.88,11.16,12.61,57.74,,
UR1,Large Urban Areas,male,65 to 69,16.85,16.74,16.96,9.32,8.59,10.04,55.30,,
