"Table 1. Life expectancy and healthy life expectancy in Scotland, 2016-2018",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
,,,,,,,,,,,,
,,,,,,,,,,,,
S92000003,Scotland,female,less than 1,81.08,80.99,81.17,62.21,61.73,62.68,76.72,,
S92000003,Scotland,female,1 to 4,80.33,80.25,80.41,61.48,61.00,61.96,76.53,,
S92000003,Scotland,female,5 to 9,76.37,76.29,76.45,57.84,57.37,58.31,75.73,,
S92000003,Scotland,female,10 to 14,71.40,71.32,71.48,53.29,52.83,53.74,74.63,,
S92000003,Scotland,female,15 to 19,66.44,66.36,66.52,48.78,48.33,49.22,73.42,,
S92000003,Scotland,female,20 to 24,61.51,61.43,61.59,44.37,43.94,44.79,72.13,,
S92000003,Scotland,female,25 to 29,56.59,56.51,56.67,40.05,39.63,40.46,70.76,,
S92000003,Scotland,female,30 to 34,51.69,51.61,51.76,35.80,35.40,36.20,69.27,,
S92000003,Scotland,female,35 to 39,46.84,46.77,46.92,31.68,31.30,32.06,67.63,,
S92000003,Scotland,female,40 to 44,42.10,42.03,42.17,27.73,27.36,28.10,65.87,,
S92000003,Scotland,female,45 to 49,37.43,37.36,37.50,23.94,23.59,24.30,63.98,,
S92000003,Scotland,female,50 to 54,32.80,32.74,32.87,20.31,19.97,20.66,61.92,,
S92000003,Scotland,female,55 to 59,28.31,28.24,28.37,16.91,16.58,17.25,59.75,,
S92000003,Scotland,female,60 to 64,23.95,23.88,24.01,13.75,13.42,14.08,57.42,,
S92000003,Scotland,female,65 to 69,19.79,19.73,19.84,10.79,10.48,11.11,54.56,,
S92000003,Scotland,female,70 to 74,15.85,15.79,15.90,8.12,7.80,8.44,51.23,,
S92000003,Scotland,female,75 to 79,12.23,12.18,12.29,5.82,5.50,6.15,47.60,,
S92000003,Scotland,female,80 to 84,9.10,9.05,9.15,4.01,3.71,4.30,44.01,,
S92000003,Scotland,female,85 to 89,6.44,6.39,6.49,2.63,2.39,2.88,40.88,,
S92000003,Scotland,female,90+,4.47,4.41,4.54,1.74,1.50,1.97,38.83,,
S92000003,Scotland,male,less than 1,77.06,76.96,77.15,61.88,61.47,62.30,80.31,,
S92000003,Scotland,male,1 to 4,76.32,76.23,76.41,61.13,60.72,61.55,80.11,,
S92000003,Scotland,male,5 to 9,72.36,72.27,72.45,57.35,56.94,57.76,79.26,,
S92000003,Scotland,male,10 to 14,67.39,67.30,67.48,52.63,52.22,53.03,78.09,,
S92000003,Scotland,male,15 to 19,62.43,62.34,62.52,47.94,47.55,48.34,76.80,,
S92000003,Scotland,male,20 to 24,57.56,57.47,57.65,43.39,43.00,43.78,75.38,,
S92000003,Scotland,male,25 to 29,52.73,52.65,52.82,38.94,38.56,39.32,73.84,,
S92000003,Scotland,male,30 to 34,47.99,47.90,48.07,34.63,34.26,35.00,72.17,,
S92000003,Scotland,male,35 to 39,43.31,43.23,43.39,30.47,30.12,30.83,70.36,,
S92000003,Scotland,male,40 to 44,38.71,38.63,38.79,26.48,26.14,26.82,68.41,,
S92000003,Scotland,male,45 to 49,34.26,34.19,34.33,22.71,22.39,23.04,66.30,,
S92000003,Scotland,male,50 to 54,29.89,29.82,29.96,19.13,18.81,19.44,63.98,,
S92000003,Scotland,male,55 to 59,25.60,25.53,25.66,15.74,15.43,16.05,61.50,,
S92000003,Scotland,male,60 to 64,21.46,21.40,21.52,12.63,12.34,12.93,58.88,,
S92000003,Scotland,male,65 to 69,17.56,17.50,17.62,9.86,9.57,10.16,56.16,,
S92000003,Scotland,male,70 to 74,13.98,13.93,14.04,7.42,7.13,7.72,53.09,,
S92000003,Scotland,male,75 to 79,10.71,10.65,10.76,5.32,5.01,5.63,49.70,,
S92000003,Scotland,male,80 to 84,7.95,7.90,8.01,3.66,3.36,3.96,46.04,,
S92000003,Scotland,male,85 to 89,5.73,5.67,5.79,2.42,2.17,2.67,42.21,,
S92000003,Scotland,male,90+,4.06,3.97,4.14,1.56,1.33,1.80,38.54,,
,,,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,,,
