"Table 2. Life expectancy and healthy life expectancy in Scottish council areas, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
,,,,,,,,,,
,,,,,,,,,,
S12000005,Clackmannanshire,Female,less than 1,80.67,79.85,81.49,61.56,58.62,64.50,76.31
S12000005,Clackmannanshire,Female,1 to 4,79.67,78.85,80.49,60.68,57.74,63.62,76.16
S12000005,Clackmannanshire,Female,5 to 9,75.77,74.97,76.56,57.25,54.36,60.15,75.56
S12000005,Clackmannanshire,Female,10 to 14,70.77,69.97,71.56,52.93,50.12,55.75,74.80
S12000005,Clackmannanshire,Female,15 to 19,65.77,64.97,66.56,48.75,46.04,51.46,74.12
S12000005,Clackmannanshire,Female,20 to 24,60.77,59.97,61.56,44.61,42.00,47.21,73.41
S12000005,Clackmannanshire,Female,25 to 29,55.77,54.97,56.56,40.46,38.02,42.90,72.55
S12000005,Clackmannanshire,Female,30 to 34,50.95,50.18,51.72,36.59,34.23,38.94,71.81
S12000005,Clackmannanshire,Female,35 to 39,46.06,45.31,46.82,32.73,30.49,34.97,71.06
S12000005,Clackmannanshire,Female,40 to 44,41.45,40.73,42.16,29.16,27.02,31.31,70.36
S12000005,Clackmannanshire,Female,45 to 49,36.76,36.08,37.45,25.60,23.54,27.65,69.63
S12000005,Clackmannanshire,Female,50 to 54,32.10,31.43,32.77,22.13,20.15,24.11,68.93
S12000005,Clackmannanshire,Female,55 to 59,27.71,27.07,28.35,18.86,16.95,20.78,68.07
S12000005,Clackmannanshire,Female,60 to 64,23.33,22.72,23.94,15.71,13.85,17.57,67.34
S12000005,Clackmannanshire,Female,65 to 69,19.19,18.61,19.76,12.80,10.99,14.61,66.72
S12000005,Clackmannanshire,Female,70 to 74,15.30,14.75,15.84,10.12,8.31,11.93,66.15
S12000005,Clackmannanshire,Female,75 to 79,11.53,11.00,12.06,7.55,5.72,9.38,65.52
S12000005,Clackmannanshire,Female,80 to 84,8.41,7.89,8.93,5.43,3.70,7.15,64.57
S12000005,Clackmannanshire,Female,85 to 89,6.44,5.90,6.98,4.02,2.44,5.60,62.46
S12000005,Clackmannanshire,Female,90+,4.31,3.63,4.99,2.51,1.02,4.00,58.25
S12000005,Clackmannanshire,Male,less than 1,76.90,75.83,77.98,62.21,59.68,64.74,80.89
S12000005,Clackmannanshire,Male,1 to 4,76.47,75.49,77.45,61.67,59.12,64.21,80.64
S12000005,Clackmannanshire,Male,5 to 9,72.47,71.49,73.45,57.68,55.14,60.22,79.59
S12000005,Clackmannanshire,Male,10 to 14,67.47,66.49,68.45,52.78,50.25,55.31,78.23
S12000005,Clackmannanshire,Male,15 to 19,62.47,61.49,63.45,47.98,45.48,50.48,76.81
S12000005,Clackmannanshire,Male,20 to 24,57.60,56.64,58.57,43.39,40.93,45.86,75.33
S12000005,Clackmannanshire,Male,25 to 29,52.95,52.02,53.88,39.08,36.67,41.50,73.81
