"Table 3. Life expectancy and healthy life expectancy in NHS health boards, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Health board,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
,,,,,,,,,,
,,,,,,,,,,
S08000015,Ayrshire and Arran,Female,less than 1,80.36,80.01,80.71,59.51,58.29,60.72,74.05
S08000015,Ayrshire and Arran,Female,1 to 4,79.67,79.35,79.99,58.82,57.60,60.04,73.83
S08000015,Ayrshire and Arran,Female,5 to 9,75.70,75.38,76.01,55.22,54.01,56.42,72.94
S08000015,Ayrshire and Arran,Female,10 to 14,70.72,70.41,71.04,50.76,49.59,51.93,71.78
S08000015,Ayrshire and Arran,Female,15 to 19,65.76,65.44,66.07,46.39,45.26,47.52,70.55
S08000015,Ayrshire and Arran,Female,20 to 24,60.84,60.54,61.15,42.15,41.06,43.24,69.27
S08000015,Ayrshire and Arran,Female,25 to 29,56.01,55.71,56.31,38.07,37.03,39.10,67.96
S08000015,Ayrshire and Arran,Female,30 to 34,51.21,50.92,51.50,34.10,33.11,35.09,66.59
S08000015,Ayrshire and Arran,Female,35 to 39,46.39,46.11,46.67,30.22,29.27,31.16,65.13
S08000015,Ayrshire and Arran,Female,40 to 44,41.73,41.46,41.99,26.54,25.64,27.44,63.60
S08000015,Ayrshire and Arran,Female,45 to 49,37.14,36.89,37.39,23.02,22.16,23.88,61.99
S08000015,Ayrshire and Arran,Female,50 to 54,32.49,32.25,32.73,19.59,18.78,20.40,60.29
S08000015,Ayrshire and Arran,Female,55 to 59,28.05,27.82,28.28,16.41,15.63,17.19,58.51
S08000015,Ayrshire and Arran,Female,60 to 64,23.63,23.41,23.85,13.38,12.63,14.13,56.62
S08000015,Ayrshire and Arran,Female,65 to 69,19.54,19.33,19.75,10.67,9.95,11.39,54.60
S08000015,Ayrshire and Arran,Female,70 to 74,15.59,15.39,15.78,8.15,7.45,8.86,52.30
S08000015,Ayrshire and Arran,Female,75 to 79,12.07,11.89,12.26,6.02,5.31,6.74,49.87
S08000015,Ayrshire and Arran,Female,80 to 84,8.98,8.80,9.16,4.25,3.59,4.91,47.32
S08000015,Ayrshire and Arran,Female,85 to 89,6.46,6.27,6.65,2.89,2.33,3.45,44.77
S08000015,Ayrshire and Arran,Female,90+,4.79,4.54,5.04,2.03,1.45,2.60,42.38
S08000015,Ayrshire and Arran,Male,less than 1,76.55,76.18,76.93,58.83,57.65,60.02,76.85
S08000015,Ayrshire and Arran,Male,1 to 4,75.75,75.39,76.12,58.10,56.91,59.28,76.69
S08000015,Ayrshire and Arran,Male,5 to 9,71.84,71.49,72.20,54.61,53.45,55.77,76.01
S08000015,Ayrshire and Arran,Male,10 to 14,66.86,66.50,67.21,50.15,49.04,51.27,75.02
S08000015,Ayrshire and Arran,Male,15 to 19,61.91,61.56,62.26,45.73,44.66,46.79,73.86
S08000015,Ayrshire and Arran,Male,20 to 24,57.00,56.65,57.35,41.34,40.32,42.36,72.53
