"Table 5. Life expectancy and healthy life expectancy in deprivation deciles, 2016-2018",,,,,,,,,
,,,,,,,,,
SIMD decile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
,,,,,,,,,
,,,,,,,,,
1,Female,less than 1,75.63,75.32,75.94,48.60,46.68,50.52,64.26
1,Female,1 to 4,74.96,74.67,75.26,47.95,46.02,49.87,63.96
1,Female,5 to 9,71.03,70.73,71.32,44.56,42.68,46.44,62.74
1,Female,10 to 14,66.07,65.78,66.36,40.34,38.53,42.14,61.05
1,Female,15 to 19,61.11,60.82,61.40,36.13,34.41,37.85,59.12
1,Female,20 to 24,56.20,55.92,56.48,32.08,30.46,33.70,57.07
1,Female,25 to 29,51.32,51.04,51.60,28.16,26.60,29.71,54.87
1,Female,30 to 34,46.49,46.22,46.77,24.37,22.86,25.89,52.42
1,Female,35 to 39,41.81,41.54,42.08,20.90,19.43,22.37,49.99
1,Female,40 to 44,37.42,37.16,37.68,17.82,16.40,19.24,47.62
1,Female,45 to 49,33.15,32.91,33.40,15.06,13.71,16.41,45.42
1,Female,50 to 54,28.89,28.66,29.12,12.53,11.23,13.84,43.39
1,Female,55 to 59,24.77,24.54,24.99,10.35,9.13,11.57,41.81
1,Female,60 to 64,20.79,20.57,21.00,8.49,7.30,9.67,40.82
1,Female,65 to 69,17.14,16.94,17.33,6.76,5.63,7.88,39.44
1,Female,70 to 74,13.81,13.63,13.99,5.22,4.12,6.32,37.79
1,Female,75 to 79,10.91,10.74,11.08,4.01,2.91,5.12,36.76
1,Female,80 to 84,8.28,8.11,8.44,2.99,1.91,4.07,36.12
1,Female,85 to 89,6.19,6.02,6.36,2.32,1.36,3.27,37.42
1,Female,90+,4.34,4.12,4.56,1.77,0.83,2.71,40.71
1,Male,less than 1,69.57,69.25,69.89,48.23,46.67,49.79,69.33
1,Male,1 to 4,68.87,68.56,69.18,47.49,45.93,49.06,68.96
1,Male,5 to 9,64.91,64.60,65.22,43.76,42.21,45.31,67.42
1,Male,10 to 14,59.94,59.63,60.25,39.13,37.61,40.66,65.29
1,Male,15 to 19,54.96,54.66,55.27,34.56,33.06,36.05,62.87
1,Male,20 to 24,50.15,49.85,50.45,30.15,28.69,31.62,60.12
1,Male,25 to 29,45.40,45.10,45.69,25.92,24.48,27.36,57.09
1,Male,30 to 34,40.79,40.51,41.08,21.92,20.54,23.31,53.74
1,Male,35 to 39,36.39,36.11,36.67,18.28,16.93,19.64,50.24
1,Male,40 to 44,32.24,31.97,32.51,15.06,13.77,16.35,46.72
1,Male,45 to 49,28.45,28.21,28.70,12.25,11.01,13.50,43.07
1,Male,50 to 54,24.84,24.61,25.07,9.75,8.56,10.93,39.23
1,Male,55 to 59,21.20,20.99,21.42,7.49,6.35,8.63,35.34
1,Male,60 to 64,17.65,17.45,17.86,5.59,4.51,6.66,31.66
1,Male,65 to 69,14.44,14.25,14.64,4.10,3.03,5.17,28.39
1,Male,70 to 74,11.56,11.37,11.74,2.84,1.71,3.98,24.62
