Table 6. Life expectancy and healthy life expectancy by Urban Rural classification 2016-2018,,,,,,,,,,
,,,,,,,,,,
Urban Rural (2016) code,Urban rural (2016) six fold classification,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)"
,,,,,,,,,,
,,,,,,,,,,
UR1,Large Urban Areas,female,less than 1,80.47,80.32,80.63,61.45,60.46,62.44,76.36
UR1,Large Urban Areas,female,1 to 4,79.78,79.64,79.93,60.78,59.79,61.77,76.19
UR1,Large Urban Areas,female,5 to 9,75.84,75.69,75.98,57.22,56.25,58.19,75.45
UR1,Large Urban Areas,female,10 to 14,70.86,70.72,71.00,52.70,51.77,53.64,74.38
UR1,Large Urban Areas,female,15 to 19,65.89,65.75,66.03,48.20,47.29,49.10,73.15
UR1,Large Urban Areas,female,20 to 24,60.94,60.80,61.08,43.74,42.87,44.61,71.78
UR1,Large Urban Areas,female,25 to 29,55.99,55.85,56.13,39.31,38.46,40.16,70.21
UR1,Large Urban Areas,female,30 to 34,51.06,50.92,51.20,34.94,34.11,35.77,68.43
UR1,Large Urban Areas,female,35 to 39,46.20,46.07,46.34,30.71,29.90,31.52,66.46
UR1,Large Urban Areas,female,40 to 44,41.47,41.34,41.60,26.71,25.92,27.50,64.41
UR1,Large Urban Areas,female,45 to 49,36.84,36.71,36.96,22.94,22.17,23.70,62.27
UR1,Large Urban Areas,female,50 to 54,32.28,32.15,32.40,19.36,18.61,20.10,59.97
UR1,Large Urban Areas,female,55 to 59,27.85,27.73,27.97,16.03,15.31,16.75,57.57
UR1,Large Urban Areas,female,60 to 64,23.52,23.41,23.64,12.93,12.23,13.63,54.96
UR1,Large Urban Areas,female,65 to 69,19.45,19.34,19.56,10.04,9.36,10.72,51.62
UR1,Large Urban Areas,female,70 to 74,15.63,15.53,15.73,7.46,6.79,8.14,47.74
UR1,Large Urban Areas,female,75 to 79,12.14,12.05,12.23,5.29,4.61,5.98,43.61
UR1,Large Urban Areas,female,80 to 84,9.12,9.04,9.21,3.61,2.98,4.23,39.56
UR1,Large Urban Areas,female,85 to 89,6.49,6.41,6.58,2.33,1.81,2.85,35.84
UR1,Large Urban Areas,female,90+,4.52,4.41,4.63,1.51,1.02,2.00,33.47
UR1,Large Urban Areas,male,less than 1,75.90,75.73,76.06,60.64,59.80,61.47,79.89
UR1,Large Urban Areas,male,1 to 4,75.21,75.06,75.37,59.92,59.08,60.76,79.67
UR1,Large Urban Areas,male,5 to 9,71.26,71.10,71.41,56.11,55.28,56.94,78.75
UR1,Large Urban Areas,male,10 to 14,66.29,66.13,66.44,51.37,50.55,52.19,77.49
UR1,Large Urban Areas,male,15 to 19,61.33,61.18,61.48,46.68,45.87,47.48,76.10
UR1,Large Urban Areas,male,20 to 24,56.45,56.30,56.60,42.09,41.30,42.88,74.56
UR1,Large Urban Areas,male,25 to 29,51.59,51.44,51.74,37.58,36.81,38.36,72.85
UR1,Large Urban Areas,male,30 to 34,46.79,46.64,46.94,33.20,32.44,33.96,70.96
