"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
,,,,,,,,
,,,,,,,,
Aberdeen Central,female,less than 1,80.76,79.88,81.63,,,
Aberdeen Central,female,1 to 4,80.10,79.27,80.92,,,
Aberdeen Central,female,5 to 9,76.17,75.35,76.98,,,
Aberdeen Central,female,10 to 14,71.17,70.35,71.98,,,
Aberdeen Central,female,15 to 19,66.17,65.35,66.98,,,
Aberdeen Central,female,20 to 24,61.25,60.44,62.06,,,
Aberdeen Central,female,25 to 29,56.29,55.49,57.10,,,
Aberdeen Central,female,30 to 34,51.34,50.54,52.15,,,
Aberdeen Central,female,35 to 39,46.58,45.79,47.38,,,
Aberdeen Central,female,40 to 44,41.88,41.09,42.66,,,
Aberdeen Central,female,45 to 49,37.20,36.43,37.97,,,
Aberdeen Central,female,50 to 54,32.81,32.08,33.55,,,
Aberdeen Central,female,55 to 59,28.52,27.81,29.22,,,
Aberdeen Central,female,60 to 64,24.19,23.51,24.87,,,
Aberdeen Central,female,65 to 69,20.19,19.55,20.83,,,
Aberdeen Central,female,70 to 74,16.50,15.90,17.09,,,
Aberdeen Central,female,75 to 79,12.81,12.26,13.35,,,
Aberdeen Central,female,80 to 84,9.49,8.98,9.99,,,
Aberdeen Central,female,85 to 89,6.61,6.10,7.12,,,
Aberdeen Central,female,90+,4.77,4.12,5.43,,,
Aberdeen Central,male,less than 1,75.75,74.90,76.59,,,
Aberdeen Central,male,1 to 4,74.87,74.05,75.70,,,
Aberdeen Central,male,5 to 9,70.94,70.12,71.76,,,
Aberdeen Central,male,10 to 14,66.08,65.28,66.87,,,
Aberdeen Central,male,15 to 19,61.08,60.28,61.87,,,
Aberdeen Central,male,20 to 24,56.12,55.33,56.92,,,
Aberdeen Central,male,25 to 29,51.14,50.35,51.93,,,
Aberdeen Central,male,30 to 34,46.25,45.45,47.04,,,
Aberdeen Central,male,35 to 39,41.40,40.61,42.19,,,
Aberdeen Central,male,40 to 44,36.84,36.06,37.62,,,
Aberdeen Central,male,45 to 49,32.68,31.93,33.43,,,
Aberdeen Central,male,50 to 54,28.41,27.68,29.14,,,
Aberdeen Central,male,55 to 59,24.22,23.51,24.93,,,
Aberdeen Central,male,60 to 64,20.46,19.77,21.14,,,
Aberdeen Central,male,65 to 69,16.99,16.33,17.66,,,
Aberdeen Central,male,70 to 74,13.93,13.29,14.58,,,
Aberdeen Central,male,75 to 79,10.86,10.23,11.48,,,
Aberdeen Central,male,80 to 84,8.38,7.77,8.98,,,
Aberdeen Central,male,85 to 89,5.90,5.25,6.55,,,
Aberdeen Central,male,90+,4.51,3.56,5.45,,,
Aberdeen Donside,female,less than 1,80.75,80.08,81.42,,,
Aberdeen Donside,female,1 to 4,79.92,79.28,80.57,,,
Aberdeen Donside,female,5 to 9,75.98,75.34,76.61,,,
Aberdeen Donside,female,10 to 14,70.98,70.34,71.61,,,
Aberdeen Donside,female,15 to 19,65.98,65.34,66.61,,,
Aberdeen Donside,female,20 to 24,61.04,60.42,61.66,,,
