Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
,,,,,,,,,
Aberdeen City,1,female,less than 1,77.12,76.32,77.91,,,
Aberdeen City,1,female,1 to 4,76.21,75.43,77.00,,,
Aberdeen City,1,female,5 to 9,72.21,71.43,73.00,,,
Aberdeen City,1,female,10 to 14,67.21,66.43,68.00,,,
Aberdeen City,1,female,15 to 19,62.21,61.43,63.00,,,
Aberdeen City,1,female,20 to 24,57.27,56.49,58.05,,,
Aberdeen City,1,female,25 to 29,52.36,51.59,53.13,,,
Aberdeen City,1,female,30 to 34,47.49,46.73,48.26,,,
Aberdeen City,1,female,35 to 39,42.81,42.05,43.56,,,
Aberdeen City,1,female,40 to 44,38.39,37.66,39.11,,,
Aberdeen City,1,female,45 to 49,34.19,33.51,34.87,,,
Aberdeen City,1,female,50 to 54,29.81,29.16,30.47,,,
Aberdeen City,1,female,55 to 59,25.73,25.11,26.36,,,
Aberdeen City,1,female,60 to 64,21.75,21.16,22.34,,,
Aberdeen City,1,female,65 to 69,17.83,17.28,18.39,,,
Aberdeen City,1,female,70 to 74,14.58,14.06,15.09,,,
Aberdeen City,1,female,75 to 79,11.33,10.86,11.79,,,
Aberdeen City,1,female,80 to 84,8.45,8.01,8.88,,,
Aberdeen City,1,female,85 to 89,6.19,5.73,6.65,,,
Aberdeen City,1,female,90+,4.61,3.98,5.23,,,
Aberdeen City,1,male,less than 1,71.23,70.42,72.05,,,
Aberdeen City,1,male,1 to 4,70.54,69.75,71.33,,,
Aberdeen City,1,male,5 to 9,66.54,65.75,67.33,,,
Aberdeen City,1,male,10 to 14,61.58,60.80,62.37,,,
Aberdeen City,1,male,15 to 19,56.64,55.86,57.42,,,
Aberdeen City,1,male,20 to 24,51.69,50.92,52.46,,,
Aberdeen City,1,male,25 to 29,46.93,46.18,47.69,,,
Aberdeen City,1,male,30 to 34,42.19,41.44,42.94,,,
Aberdeen City,1,male,35 to 39,37.57,36.83,38.30,,,
Aberdeen City,1,male,40 to 44,33.20,32.48,33.91,,,
Aberdeen City,1,male,45 to 49,29.28,28.61,29.96,,,
Aberdeen City,1,male,50 to 54,25.60,24.97,26.23,,,
Aberdeen City,1,male,55 to 59,21.87,21.28,22.47,,,
Aberdeen City,1,male,60 to 64,18.11,17.54,18.68,,,
Aberdeen City,1,male,65 to 69,14.71,14.17,15.25,,,
Aberdeen City,1,male,70 to 74,12.03,11.50,12.55,,,
Aberdeen City,1,male,75 to 79,9.52,9.03,10.01,,,
Aberdeen City,1,male,80 to 84,7.23,6.76,7.70,,,
Aberdeen City,1,male,85 to 89,5.28,4.77,5.79,,,
Aberdeen City,1,male,90+,3.86,3.12,4.61,,,
Aberdeen City,2,female,less than 1,79.47,78.68,80.26,,,
Aberdeen City,2,female,1 to 4,78.67,77.91,79.43,,,
Aberdeen City,2,female,5 to 9,74.74,73.99,75.49,,,
