"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2017-2019",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)"
,,,,,,,,,,
,,,,,,,,,,
Ayrshire and Arran,S08000015,Female,<1,80.46,80.11,80.80,59.08,57.83,60.33,73.43
Ayrshire and Arran,S08000015,Female,1 to 4,79.69,79.37,80.01,58.37,57.12,59.62,73.25
Ayrshire and Arran,S08000015,Female,5 to 9,75.71,75.39,76.03,54.87,53.65,56.10,72.48
Ayrshire and Arran,S08000015,Female,10 to 14,70.73,70.42,71.05,50.56,49.37,51.74,71.47
Ayrshire and Arran,S08000015,Female,15 to 19,65.79,65.48,66.10,46.32,45.18,47.46,70.41
Ayrshire and Arran,S08000015,Female,20 to 24,60.90,60.60,61.21,42.19,41.10,43.29,69.28
Ayrshire and Arran,S08000015,Female,25 to 29,56.02,55.72,56.32,38.14,37.10,39.18,68.09
Ayrshire and Arran,S08000015,Female,30 to 34,51.19,50.90,51.48,34.21,33.22,35.20,66.83
Ayrshire and Arran,S08000015,Female,35 to 39,46.42,46.14,46.70,30.41,29.47,31.36,65.51
Ayrshire and Arran,S08000015,Female,40 to 44,41.79,41.52,42.05,26.80,25.90,27.70,64.13
Ayrshire and Arran,S08000015,Female,45 to 49,37.19,36.95,37.44,23.31,22.45,24.17,62.68
Ayrshire and Arran,S08000015,Female,50 to 54,32.55,32.31,32.79,19.90,19.09,20.72,61.15
Ayrshire and Arran,S08000015,Female,55 to 59,28.08,27.86,28.31,16.72,15.94,17.50,59.54
Ayrshire and Arran,S08000015,Female,60 to 64,23.64,23.42,23.86,13.67,12.93,14.41,57.82
Ayrshire and Arran,S08000015,Female,65 to 69,19.54,19.33,19.74,10.94,10.23,11.66,56.00
Ayrshire and Arran,S08000015,Female,70 to 74,15.64,15.45,15.84,8.46,7.76,9.16,54.07
Ayrshire and Arran,S08000015,Female,75 to 79,12.06,11.88,12.25,6.27,5.56,6.98,51.97
Ayrshire and Arran,S08000015,Female,80 to 84,8.97,8.80,9.15,4.45,3.78,5.13,49.62
Ayrshire and Arran,S08000015,Female,85 to 89,6.43,6.25,6.62,3.02,2.44,3.59,46.88
Ayrshire and Arran,S08000015,Female,90+,4.68,4.44,4.92,2.04,1.46,2.61,43.56
Ayrshire and Arran,S08000015,Male,<1,76.40,76.02,76.79,59.42,58.31,60.53,77.77
Ayrshire and Arran,S08000015,Male,1 to 4,75.60,75.23,75.97,58.64,57.52,59.76,77.56
Ayrshire and Arran,S08000015,Male,5 to 9,71.68,71.32,72.04,54.97,53.87,56.07,76.68
Ayrshire and Arran,S08000015,Male,10 to 14,66.69,66.33,67.05,50.32,49.25,51.39,75.45
Ayrshire and Arran,S08000015,Male,15 to 19,61.74,61.38,62.10,45.73,44.69,46.78,74.07
Ayrshire and Arran,S08000015,Male,20 to 24,56.90,56.55,57.26,41.27,40.26,42.28,72.52
