"Table 4: Healthy Life Expectancy (HLE1) estimates by SIMD decile in Scotland, 2017-2019",,,,,,,,,,
,,,,,,,,,,
SIMD decile,Sex,Age Group,LE,LE lower CI,LE upper CI,HLE,HLE lower CI,HLE upper CI,Proportion of life in good health ,
,,,,,,,,,,
1,Female,<1,75.60,75.29,75.92,50.09,48.46,51.73,66.26,
1,Female,1 to 4,74.90,74.60,75.20,49.36,47.72,51.00,65.90,
1,Female,5 to 9,70.96,70.66,71.26,45.74,44.12,47.36,64.46,
1,Female,10 to 14,66.01,65.71,66.30,41.28,39.68,42.87,62.53,
1,Female,15 to 19,61.07,60.78,61.37,36.91,35.35,38.46,60.43,
1,Female,20 to 24,56.20,55.91,56.49,32.74,31.22,34.25,58.24,
1,Female,25 to 29,51.33,51.05,51.62,28.71,27.25,30.18,55.94,
1,Female,30 to 34,46.52,46.24,46.80,24.86,23.44,26.29,53.45,
1,Female,35 to 39,41.80,41.52,42.08,21.31,19.94,22.67,50.97,
1,Female,40 to 44,37.45,37.19,37.72,18.18,16.87,19.49,48.55,
1,Female,45 to 49,33.23,32.98,33.48,15.37,14.11,16.63,46.25,
1,Female,50 to 54,29.08,28.84,29.31,12.82,11.62,14.02,44.10,
1,Female,55 to 59,25.01,24.78,25.23,10.58,9.44,11.72,42.30,
1,Female,60 to 64,21.01,20.80,21.23,8.60,7.53,9.68,40.95,
1,Female,65 to 69,17.31,17.10,17.51,6.80,5.79,7.81,39.29,
1,Female,70 to 74,13.97,13.78,14.16,5.23,4.28,6.17,37.42,
1,Female,75 to 79,11.11,10.94,11.29,4.00,3.07,4.94,36.03,
1,Female,80 to 84,8.49,8.32,8.66,2.96,2.12,3.81,34.93,
1,Female,85 to 89,6.47,6.28,6.65,2.28,1.53,3.04,35.29,
1,Female,90+,4.65,4.40,4.89,1.72,0.96,2.48,37.04,
1,Male,<1,69.52,69.19,69.86,47.03,45.38,48.68,67.64,
1,Male,1 to 4,68.90,68.58,69.22,46.37,44.71,48.02,67.29,
1,Male,5 to 9,64.93,64.61,65.24,42.76,41.12,44.40,65.85,
1,Male,10 to 14,59.95,59.63,60.26,38.29,36.68,39.90,63.87,
1,Male,15 to 19,54.98,54.66,55.29,33.89,32.32,35.46,61.64,
1,Male,20 to 24,50.18,49.87,50.49,29.67,28.13,31.21,59.13,
1,Male,25 to 29,45.51,45.21,45.81,25.65,24.18,27.13,56.37,
1,Male,30 to 34,40.88,40.58,41.18,21.81,20.39,23.22,53.34,
1,Male,35 to 39,36.43,36.14,36.72,18.28,16.93,19.64,50.18,
1,Male,40 to 44,32.42,32.15,32.70,15.24,13.93,16.55,47.00,
1,Male,45 to 49,28.73,28.48,28.98,12.56,11.31,13.81,43.71,
1,Male,50 to 54,25.24,25.01,25.47,10.17,8.98,11.35,40.28,
1,Male,55 to 59,21.63,21.41,21.84,7.96,6.81,9.11,36.81,
1,Male,60 to 64,18.03,17.82,18.24,6.05,4.95,7.14,33.52,
1,Male,65 to 69,14.81,14.61,15.01,4.53,3.44,5.61,30.58,
1,Male,70 to 74,11.87,11.68,12.06,3.23,2.09,4.37,27.21,
1,Male,75 to 79,9.30,9.11,9.48,2.21,0.94,3.47,23.74,
1,Male,80 to 84,7.17,6.98,7.37,1.45,0.02,2.88,20.22,
1,Male,85 to 89,5.58,5.35,5.82,0.96,-0.22,2.15,17.26,
1,Male,90+,4.75,4.36,5.14,0.76,-0.57,2.08,15.90,
2,Female,<1,77.25,76.97,77.54,54.53,52.92,56.14,70.59,
2,Female,1 to 4,76.59,76.32,76.86,53.82,52.20,55.44,70.27,
2,Female,5 to 9,72.62,72.36,72.89,50.08,48.47,51.69,68.96,
2,Female,10 to 14,67.65,67.39,67.91,45.51,43.92,47.09,67.27,
2,Female,15 to 19,62.70,62.43,62.96,41.05,39.50,42.60,65.48,
2,Female,20 to 24,57.76,57.50,58.02,36.75,35.24,38.26,63.63,
2,Female,25 to 29,52.87,52.61,53.12,32.65,31.17,34.12,61.75,
2,Female,30 to 34,47.99,47.74,48.24,28.68,27.24,30.11,59.75,
2,Female,35 to 39,43.25,43.00,43.49,24.94,23.55,26.33,57.67,
