"Table 4: Healthy Life Expectancy (HLE1) estimates by SIMD quintile in Scotland, 2017-2019",,,,,,,,,,
,,,,,,,,,,
SIMD quintile,Sex,Age Group,LE,LE lower CI,LE upper CI,HLE,HLE lower CI,HLE upper CI,Proportion of life in good health ,
,,,,,,,,,,
1,Female,<1,76.43,76.22,76.64,51.79,50.65,52.92,67.75,
1,Female,1 to 4,75.75,75.54,75.95,51.07,49.94,52.21,67.42,
1,Female,5 to 9,71.79,71.59,71.99,47.43,46.31,48.55,66.07,
1,Female,10 to 14,66.83,66.63,67.03,42.94,41.84,44.05,64.26,
1,Female,15 to 19,61.89,61.69,62.08,38.55,37.48,39.63,62.30,
1,Female,20 to 24,56.99,56.79,57.18,34.33,33.29,35.38,60.25,
1,Female,25 to 29,52.10,51.91,52.29,30.28,29.26,31.30,58.12,
1,Female,30 to 34,47.26,47.07,47.45,26.37,25.39,27.36,55.80,
1,Female,35 to 39,42.53,42.34,42.71,22.73,21.78,23.68,53.44,
1,Female,40 to 44,38.03,37.85,38.21,19.45,18.54,20.36,51.14,
1,Female,45 to 49,33.68,33.52,33.85,16.46,15.60,17.33,48.88,
1,Female,50 to 54,29.37,29.21,29.53,13.71,12.88,14.54,46.67,
1,Female,55 to 59,25.19,25.04,25.34,11.27,10.48,12.06,44.73,
1,Female,60 to 64,21.17,21.03,21.31,9.14,8.38,9.89,43.15,
1,Female,65 to 69,17.40,17.26,17.53,7.18,6.46,7.90,41.28,
1,Female,70 to 74,13.97,13.84,14.09,5.46,4.76,6.16,39.09,
1,Female,75 to 79,10.93,10.81,11.04,4.06,3.33,4.78,37.13,
1,Female,80 to 84,8.33,8.22,8.44,2.96,2.23,3.69,35.58,
1,Female,85 to 89,6.18,6.06,6.29,2.15,1.52,2.79,34.88,
1,Female,90+,4.35,4.20,4.50,1.57,0.95,2.19,36.08,
1,Male,<1,70.76,70.53,70.99,48.42,47.32,49.52,68.42,
1,Male,1 to 4,70.16,69.94,70.38,47.77,46.67,48.88,68.09,
1,Male,5 to 9,66.21,65.99,66.42,44.17,43.08,45.26,66.71,
1,Male,10 to 14,61.22,61.00,61.44,39.68,38.62,40.75,64.82,
1,Male,15 to 19,56.26,56.04,56.48,35.28,34.24,36.32,62.71,
1,Male,20 to 24,51.44,51.22,51.65,31.03,30.01,32.05,60.33,
1,Male,25 to 29,46.74,46.53,46.95,26.98,25.99,27.96,57.72,
1,Male,30 to 34,42.09,41.88,42.29,23.09,22.14,24.03,54.86,
1,Male,35 to 39,37.58,37.38,37.78,19.48,18.58,20.38,51.83,
1,Male,40 to 44,33.41,33.23,33.60,16.28,15.42,17.15,48.73,
1,Male,45 to 49,29.53,29.36,29.70,13.43,12.61,14.24,45.47,
1,Male,50 to 54,25.81,25.65,25.97,10.84,10.07,11.62,42.01,
1,Male,55 to 59,22.05,21.90,22.20,8.49,7.76,9.22,38.49,
1,Male,60 to 64,18.37,18.22,18.51,6.46,5.77,7.14,35.16,
1,Male,65 to 69,15.02,14.88,15.15,4.82,4.15,5.49,32.09,
1,Male,70 to 74,12.01,11.88,12.14,3.45,2.77,4.12,28.69,
1,Male,75 to 79,9.29,9.17,9.41,2.31,1.59,3.04,24.90,
1,Male,80 to 84,7.10,6.98,7.22,1.51,0.73,2.29,21.27,
1,Male,85 to 89,5.43,5.28,5.57,0.96,0.33,1.59,17.62,
1,Male,90+,4.36,4.13,4.59,0.64,0.01,1.27,14.76,
2,Female,<1,79.70,79.50,79.90,57.33,56.30,58.36,71.93,
2,Female,1 to 4,79.00,78.81,79.18,56.59,55.55,57.62,71.63,
2,Female,5 to 9,75.05,74.87,75.24,52.86,51.83,53.89,70.43,
2,Female,10 to 14,70.07,69.88,70.25,48.26,47.25,49.27,68.88,
2,Female,15 to 19,65.09,64.91,65.27,43.78,42.80,44.76,67.26,
2,Female,20 to 24,60.14,59.96,60.32,39.46,38.52,40.41,65.62,
2,Female,25 to 29,55.22,55.04,55.40,35.30,34.38,36.22,63.93,
2,Female,30 to 34,50.30,50.13,50.48,31.27,30.39,32.15,62.16,
2,Female,35 to 39,45.47,45.30,45.64,27.42,26.57,28.27,60.30,
2,Female,40 to 44,40.76,40.59,40.93,23.81,22.99,24.62,58.41,
2,Female,45 to 49,36.18,36.02,36.34,20.44,19.67,21.20,56.49,
2,Female,50 to 54,31.62,31.46,31.77,17.23,16.50,17.97,54.50,
2,Female,55 to 59,27.22,27.07,27.37,14.29,13.59,15.00,52.51,
2,Female,60 to 64,22.97,22.83,23.11,11.63,10.96,12.30,50.62,
2,Female,65 to 69,18.96,18.83,19.09,9.18,8.54,9.81,48.40,
2,Female,70 to 74,15.27,15.15,15.39,7.03,6.42,7.65,46.04,
2,Female,75 to 79,11.85,11.73,11.96,5.16,4.54,5.77,43.55,
2,Female,80 to 84,8.90,8.80,9.01,3.69,3.15,4.22,41.40,
2,Female,85 to 89,6.35,6.24,6.46,2.52,2.07,2.97,39.76,
2,Female,90+,4.54,4.39,4.68,1.77,1.33,2.21,39.06,
2,Male,<1,75.00,74.78,75.23,56.44,55.48,57.40,75.25,
2,Male,1 to 4,74.44,74.23,74.64,55.78,54.81,56.74,74.93,
2,Male,5 to 9,70.49,70.28,70.69,51.90,50.94,52.86,73.63,
2,Male,10 to 14,65.50,65.29,65.71,47.11,46.16,48.06,71.93,
2,Male,15 to 19,60.53,60.32,60.73,42.44,41.50,43.38,70.11,
2,Male,20 to 24,55.71,55.51,55.91,37.98,37.06,38.91,68.18,
2,Male,25 to 29,50.95,50.75,51.14,33.70,32.79,34.61,66.15,
2,Male,30 to 34,46.21,46.02,46.40,29.56,28.69,30.43,63.96,
2,Male,35 to 39,41.59,41.41,41.78,25.63,24.80,26.46,61.63,
2,Male,40 to 44,37.08,36.90,37.26,21.97,21.18,22.77,59.26,
2,Male,45 to 49,32.75,32.59,32.92,18.60,17.85,19.35,56.79,
2,Male,50 to 54,28.57,28.41,28.72,15.45,14.74,16.16,54.10,
2,Male,55 to 59,24.39,24.24,24.54,12.53,11.86,13.19,51.36,
2,Male,60 to 64,20.36,20.22,20.50,9.92,9.28,10.56,48.73,
2,Male,65 to 69,16.63,16.49,16.76,7.74,7.12,8.35,46.52,
2,Male,70 to 74,13.21,13.08,13.33,5.81,5.21,6.40,43.97,
2,Male,75 to 79,10.17,10.05,10.29,4.19,3.58,4.80,41.18,
2,Male,80 to 84,7.66,7.54,7.78,2.95,2.35,3.55,38.56,
2,Male,85 to 89,5.59,5.46,5.72,2.04,1.54,2.55,36.51,
2,Male,90+,4.03,3.84,4.23,1.46,0.97,1.95,36.13,
3,Female,<1,81.58,81.40,81.77,62.51,61.49,63.52,76.62,
3,Female,1 to 4,80.76,80.58,80.93,61.74,60.73,62.76,76.46,
3,Female,5 to 9,76.79,76.62,76.97,58.20,57.21,59.19,75.79,
3,Female,10 to 14,71.81,71.63,71.98,53.72,52.76,54.69,74.82,
3,Female,15 to 19,66.83,66.66,67.01,49.25,48.31,50.18,73.69,
3,Female,20 to 24,61.90,61.74,62.07,44.88,43.98,45.78,72.50,
3,Female,25 to 29,57.01,56.85,57.18,40.60,39.75,41.46,71.22,
3,Female,30 to 34,52.12,51.96,52.29,36.35,35.52,37.17,69.73,
3,Female,35 to 39,47.22,47.06,47.38,32.12,31.32,32.92,68.02,
3,Female,40 to 44,42.44,42.28,42.59,28.07,27.30,28.84,66.14,
3,Female,45 to 49,37.71,37.56,37.86,24.14,23.41,24.87,64.03,
3,Female,50 to 54,33.05,32.90,33.19,20.38,19.68,21.08,61.68,
3,Female,55 to 59,28.51,28.37,28.65,16.88,16.20,17.55,59.19,
3,Female,60 to 64,24.14,24.01,24.27,13.60,12.94,14.26,56.34,
3,Female,65 to 69,19.92,19.80,20.04,10.49,9.86,11.12,52.65,
3,Female,70 to 74,15.91,15.80,16.03,7.67,7.05,8.29,48.20,
3,Female,75 to 79,12.22,12.11,12.33,5.25,4.64,5.87,43.00,
3,Female,80 to 84,8.98,8.88,9.08,3.43,2.89,3.97,38.17,
3,Female,85 to 89,6.29,6.19,6.39,2.19,1.75,2.63,34.87,
3,Female,90+,4.23,4.10,4.35,1.43,1.03,1.84,33.90,
3,Male,<1,78.04,77.83,78.24,62.68,61.75,63.61,80.33,
3,Male,1 to 4,77.21,77.01,77.40,61.86,60.93,62.79,80.13,
3,Male,5 to 9,73.25,73.06,73.44,58.08,57.16,59.00,79.29,
3,Male,10 to 14,68.27,68.08,68.46,53.36,52.46,54.25,78.15,
3,Male,15 to 19,63.29,63.10,63.48,48.65,47.78,49.52,76.87,
3,Male,20 to 24,58.43,58.25,58.62,44.11,43.26,44.95,75.48,
3,Male,25 to 29,53.56,53.38,53.75,39.61,38.80,40.42,73.95,
3,Male,30 to 34,48.77,48.59,48.94,35.23,34.45,36.01,72.25,
3,Male,35 to 39,44.05,43.87,44.22,31.00,30.25,31.76,70.39,
3,Male,40 to 44,39.39,39.22,39.55,26.93,26.20,27.66,68.37,
3,Male,45 to 49,34.86,34.71,35.02,23.04,22.33,23.74,66.08,
3,Male,50 to 54,30.39,30.24,30.54,19.29,18.61,19.96,63.46,
3,Male,55 to 59,25.98,25.84,26.12,15.76,15.12,16.41,60.67,
3,Male,60 to 64,21.78,21.65,21.92,12.58,11.96,13.21,57.77,
3,Male,65 to 69,17.83,17.70,17.96,9.82,9.21,10.43,55.08,
3,Male,70 to 74,14.15,14.02,14.27,7.32,6.71,7.92,51.73,
3,Male,75 to 79,10.80,10.68,10.91,5.18,4.55,5.81,47.96,
3,Male,80 to 84,7.97,7.86,8.09,3.52,2.88,4.15,44.10,
3,Male,85 to 89,5.70,5.58,5.82,2.34,1.81,2.88,41.13,
3,Male,90+,3.97,3.80,4.14,1.59,1.10,2.09,40.16,
4,Female,<1,83.12,82.94,83.30,65.76,64.70,66.83,79.12,
4,Female,1 to 4,82.33,82.15,82.50,65.01,63.95,66.08,78.97,
4,Female,5 to 9,78.35,78.18,78.52,61.38,60.34,62.43,78.35,
4,Female,10 to 14,73.38,73.22,73.55,56.87,55.85,57.89,77.50,
4,Female,15 to 19,68.43,68.26,68.59,52.40,51.41,53.38,76.57,
4,Female,20 to 24,63.49,63.33,63.66,48.02,47.08,48.97,75.63,
4,Female,25 to 29,58.57,58.41,58.73,43.72,42.81,44.63,74.64,
4,Female,30 to 34,53.66,53.50,53.82,39.47,38.60,40.34,73.55,
4,Female,35 to 39,48.77,48.61,48.92,35.26,34.44,36.08,72.31,
4,Female,40 to 44,43.91,43.76,44.06,31.14,30.35,31.94,70.92,
4,Female,45 to 49,39.12,38.97,39.27,27.14,26.38,27.90,69.37,
4,Female,50 to 54,34.37,34.22,34.51,23.24,22.50,23.98,67.62,
4,Female,55 to 59,29.72,29.58,29.86,19.51,18.80,20.23,65.66,
4,Female,60 to 64,25.17,25.03,25.30,15.98,15.28,16.67,63.48,
4,Female,65 to 69,20.83,20.71,20.96,12.62,11.94,13.30,60.57,
4,Female,70 to 74,16.68,16.56,16.80,9.51,8.83,10.19,57.02,
4,Female,75 to 79,12.77,12.65,12.88,6.75,6.07,7.44,52.88,
4,Female,80 to 84,9.38,9.27,9.49,4.55,3.92,5.18,48.51,
4,Female,85 to 89,6.52,6.41,6.62,2.93,2.40,3.45,44.91,
4,Female,90+,4.41,4.28,4.54,1.89,1.40,2.37,42.80,
4,Male,<1,80.26,80.06,80.45,66.13,65.27,66.98,82.39,
4,Male,1 to 4,79.39,79.20,79.58,65.26,64.40,66.12,82.20,
4,Male,5 to 9,75.43,75.24,75.62,61.41,60.55,62.26,81.41,
4,Male,10 to 14,70.46,70.27,70.64,56.60,55.75,57.45,80.33,
4,Male,15 to 19,65.51,65.32,65.69,51.85,51.01,52.69,79.15,
4,Male,20 to 24,60.61,60.43,60.79,47.20,46.37,48.03,77.88,
4,Male,25 to 29,55.76,55.58,55.93,42.66,41.85,43.48,76.51,
4,Male,30 to 34,50.95,50.78,51.12,38.23,37.45,39.02,75.04,
4,Male,35 to 39,46.16,45.99,46.32,33.88,33.12,34.64,73.39,
4,Male,40 to 44,41.39,41.23,41.55,29.61,28.88,30.35,71.55,
4,Male,45 to 49,36.69,36.53,36.84,25.48,24.78,26.18,69.45,
4,Male,50 to 54,32.05,31.90,32.20,21.50,20.82,22.18,67.07,
4,Male,55 to 59,27.52,27.38,27.66,17.74,17.09,18.40,64.47,
4,Male,60 to 64,23.12,22.98,23.26,14.25,13.62,14.88,61.64,
4,Male,65 to 69,18.90,18.76,19.03,11.09,10.48,11.71,58.72,
4,Male,70 to 74,15.02,14.89,15.15,8.28,7.67,8.90,55.16,
