"Table 6: Healthy Life Expectancy (HLE1) estimates by urban rural classificaiton in Scotland, 2017-2019",,,,,,,,,
,,,,,,,,,
Urban Rural (2016) code,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)"
,,,,,,,,,
,,,,,,,,,
UR1,Female,<1,80.63,80.47,80.78,61.45,60.51,62.38,76.21
UR1,Female,1 to 4,79.91,79.76,80.05,60.72,59.78,61.66,75.98
UR1,Female,5 to 9,75.95,75.81,76.09,57.00,56.07,57.93,75.05
UR1,Female,10 to 14,70.97,70.83,71.12,52.37,51.45,53.28,73.78
UR1,Female,15 to 19,66.01,65.87,66.15,47.81,46.91,48.70,72.42
UR1,Female,20 to 24,61.08,60.94,61.22,43.35,42.48,44.22,70.98
UR1,Female,25 to 29,56.14,56.00,56.28,38.97,38.11,39.82,69.41
UR1,Female,30 to 34,51.21,51.07,51.35,34.67,33.84,35.51,67.71
UR1,Female,35 to 39,46.34,46.21,46.48,30.54,29.73,31.35,65.90
UR1,Female,40 to 44,41.62,41.48,41.75,26.65,25.86,27.43,64.03
UR1,Female,45 to 49,36.96,36.83,37.08,22.95,22.20,23.70,62.10
UR1,Female,50 to 54,32.41,32.28,32.53,19.46,18.74,20.19,60.05
UR1,Female,55 to 59,27.99,27.87,28.10,16.22,15.51,16.92,57.94
UR1,Female,60 to 64,23.65,23.54,23.77,13.17,12.50,13.85,55.69
UR1,Female,65 to 69,19.58,19.48,19.69,10.38,9.73,11.03,53.00
UR1,Female,70 to 74,15.75,15.65,15.85,7.87,7.23,8.51,49.97
UR1,Female,75 to 79,12.23,12.14,12.32,5.72,5.08,6.35,46.76
UR1,Female,80 to 84,9.20,9.11,9.28,4.00,3.41,4.60,43.54
UR1,Female,85 to 89,6.57,6.49,6.66,2.66,2.16,3.16,40.43
UR1,Female,90+,4.55,4.44,4.66,1.73,1.25,2.20,37.95
UR1,Male,<1,76.06,75.89,76.22,60.41,59.54,61.29,79.43
UR1,Male,1 to 4,75.40,75.24,75.55,59.71,58.83,60.59,79.20
UR1,Male,5 to 9,71.44,71.28,71.59,55.90,55.02,56.77,78.25
UR1,Male,10 to 14,66.46,66.31,66.62,51.17,50.31,52.02,76.99
UR1,Male,15 to 19,61.50,61.34,61.65,46.52,45.68,47.36,75.64
UR1,Male,20 to 24,56.63,56.48,56.78,42.02,41.20,42.83,74.19
UR1,Male,25 to 29,51.78,51.64,51.93,37.61,36.82,38.40,72.63
UR1,Male,30 to 34,46.96,46.81,47.10,33.32,32.55,34.09,70.95
UR1,Male,35 to 39,42.23,42.08,42.37,29.21,28.46,29.96,69.17
UR1,Male,40 to 44,37.65,37.50,37.79,25.36,24.63,26.08,67.35
UR1,Male,45 to 49,33.29,33.16,33.43,21.81,21.11,22.51,65.51
UR1,Male,50 to 54,29.06,28.94,29.19,18.46,17.78,19.13,63.50
UR1,Male,55 to 59,24.92,24.80,25.04,15.30,14.65,15.94,61.38
UR1,Male,60 to 64,20.89,20.77,21.00,12.37,11.74,13.00,59.22
