"Table 1: Healthy Life Expectancy (HLE1) estimates in Scotland, 2018-2020",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,<1,80.98,80.89,81.06,61.79,61.26,62.31,76.30,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,1 to 4,80.21,80.12,80.29,61.06,60.53,61.59,76.13,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,5 to 9,76.25,76.17,76.33,57.49,56.97,58.01,75.40,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,10 to 14,71.28,71.20,71.36,53.01,52.51,53.52,74.38,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,15 to 19,66.31,66.23,66.39,48.56,48.07,49.05,73.23,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,20 to 24,61.37,61.30,61.45,44.20,43.72,44.67,72.01,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,25 to 29,56.47,56.39,56.55,39.92,39.46,40.37,70.69,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,30 to 34,51.58,51.50,51.66,35.71,35.27,36.15,69.23,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,35 to 39,46.74,46.67,46.81,31.61,31.19,32.03,67.63,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,40 to 44,42.00,41.92,42.07,27.67,27.27,28.08,65.90,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,45 to 49,37.34,37.27,37.41,23.90,23.51,24.29,64.02,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,50 to 54,32.75,32.69,32.82,20.30,19.92,20.68,61.97,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,55 to 59,28.26,28.20,28.33,16.90,16.54,17.26,59.80,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,60 to 64,23.90,23.84,23.96,13.73,13.38,14.08,57.45,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,65 to 69,19.74,19.69,19.80,10.78,10.44,11.12,54.59,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,70 to 74,15.83,15.78,15.89,8.12,7.78,8.45,51.27,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,75 to 79,12.20,12.15,12.25,5.81,5.47,6.15,47.65,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,80 to 84,9.03,8.98,9.08,3.97,3.66,4.28,44.01,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,85 to 89,6.39,6.34,6.44,2.60,2.34,2.86,40.72,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,90+,4.35,4.29,4.41,1.67,1.43,1.91,38.34,,,,,,,,,,,,,,,,
Scotland,S92000003,Male,<1,76.81,76.71,76.90,60.93,60.43,61.42,79.32,,,,,,,,,,,,,,,,
