"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2018-2020",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,,
,,,,,,,,,,
Ayrshire and Arran,S08000015,Female,<1,80.34,80.01,80.68,58.43,56.97,59.89,72.72
Ayrshire and Arran,S08000015,Female,1 to 4,79.51,79.19,79.83,57.66,56.20,59.12,72.52
Ayrshire and Arran,S08000015,Female,5 to 9,75.54,75.23,75.86,54.14,52.70,55.58,71.67
Ayrshire and Arran,S08000015,Female,10 to 14,70.57,70.25,70.88,49.77,48.36,51.18,70.53
Ayrshire and Arran,S08000015,Female,15 to 19,65.60,65.29,65.92,45.48,44.10,46.85,69.32
Ayrshire and Arran,S08000015,Female,20 to 24,60.69,60.39,61.00,41.30,39.97,42.64,68.05
Ayrshire and Arran,S08000015,Female,25 to 29,55.81,55.51,56.11,37.25,35.99,38.52,66.74
Ayrshire and Arran,S08000015,Female,30 to 34,51.01,50.72,51.30,33.35,32.14,34.55,65.37
Ayrshire and Arran,S08000015,Female,35 to 39,46.26,45.98,46.54,29.55,28.40,30.70,63.88
Ayrshire and Arran,S08000015,Female,40 to 44,41.57,41.30,41.83,25.90,24.81,26.99,62.30
Ayrshire and Arran,S08000015,Female,45 to 49,36.98,36.73,37.23,22.42,21.38,23.46,60.62
Ayrshire and Arran,S08000015,Female,50 to 54,32.47,32.23,32.70,19.10,18.11,20.09,58.84
Ayrshire and Arran,S08000015,Female,55 to 59,28.03,27.80,28.25,15.96,15.02,16.90,56.95
Ayrshire and Arran,S08000015,Female,60 to 64,23.59,23.38,23.81,12.97,12.08,13.86,54.95
Ayrshire and Arran,S08000015,Female,65 to 69,19.48,19.28,19.68,10.28,9.42,11.14,52.79
Ayrshire and Arran,S08000015,Female,70 to 74,15.61,15.42,15.80,7.84,7.05,8.63,50.24
Ayrshire and Arran,S08000015,Female,75 to 79,12.00,11.82,12.17,5.71,4.92,6.50,47.59
Ayrshire and Arran,S08000015,Female,80 to 84,8.86,8.69,9.03,3.97,3.29,4.65,44.82
Ayrshire and Arran,S08000015,Female,85 to 89,6.25,6.08,6.42,2.64,2.07,3.20,42.16
Ayrshire and Arran,S08000015,Female,90+,4.44,4.22,4.66,1.77,1.23,2.32,39.87
Ayrshire and Arran,S08000015,Male,<1,75.71,75.33,76.09,58.96,57.52,60.39,77.87
Ayrshire and Arran,S08000015,Male,1 to 4,74.85,74.48,75.22,58.14,56.70,59.57,77.67
Ayrshire and Arran,S08000015,Male,5 to 9,70.90,70.54,71.27,54.48,53.07,55.90,76.84
Ayrshire and Arran,S08000015,Male,10 to 14,65.91,65.55,66.28,49.89,48.51,51.27,75.69
Ayrshire and Arran,S08000015,Male,15 to 19,60.94,60.58,61.31,45.35,44.02,46.68,74.42
Ayrshire and Arran,S08000015,Male,20 to 24,56.13,55.78,56.49,40.97,39.69,42.26,72.99
