"Table 4: Healthy Life Expectancy (HLE estimates by SIMD decile in Scotland, 2018-2020",,,,,,,,,
,,,,,,,,,
SIMD decile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,
,,,,,,,,,
Decile 1 (most deprived),Female,<1,75.37,75.05,75.68,48.61,46.68,50.55,64.50
Decile 1 (most deprived),Female,1 to 4,74.66,74.36,74.96,47.90,45.96,49.84,64.16
Decile 1 (most deprived),Female,5 to 9,70.71,70.41,71.01,44.38,42.46,46.31,62.77
Decile 1 (most deprived),Female,10 to 14,65.75,65.45,66.05,40.05,38.16,41.94,60.91
Decile 1 (most deprived),Female,15 to 19,60.79,60.50,61.09,35.79,33.94,37.64,58.88
Decile 1 (most deprived),Female,20 to 24,55.95,55.66,56.24,31.76,29.95,33.57,56.76
Decile 1 (most deprived),Female,25 to 29,51.11,50.83,51.39,27.87,26.14,29.60,54.53
Decile 1 (most deprived),Female,30 to 34,46.32,46.04,46.60,24.14,22.47,25.82,52.12
Decile 1 (most deprived),Female,35 to 39,41.62,41.35,41.90,20.70,19.09,22.32,49.74
Decile 1 (most deprived),Female,40 to 44,37.22,36.96,37.48,17.65,16.09,19.21,47.41
Decile 1 (most deprived),Female,45 to 49,32.94,32.70,33.19,14.90,13.44,16.37,45.23
Decile 1 (most deprived),Female,50 to 54,28.80,28.57,29.03,12.44,11.04,13.85,43.21
Decile 1 (most deprived),Female,55 to 59,24.75,24.53,24.98,10.29,8.98,11.60,41.56
Decile 1 (most deprived),Female,60 to 64,20.79,20.58,21.00,8.40,7.14,9.66,40.41
Decile 1 (most deprived),Female,65 to 69,17.17,16.97,17.37,6.69,5.51,7.87,38.95
Decile 1 (most deprived),Female,70 to 74,13.83,13.65,14.02,5.16,3.98,6.33,37.29
Decile 1 (most deprived),Female,75 to 79,10.94,10.77,11.12,3.96,2.81,5.10,36.14
Decile 1 (most deprived),Female,80 to 84,8.27,8.11,8.43,2.92,1.84,4.00,35.32
Decile 1 (most deprived),Female,85 to 89,6.20,6.02,6.37,2.24,1.28,3.19,36.07
Decile 1 (most deprived),Female,90+,4.63,4.38,4.87,1.77,0.78,2.77,38.37
Decile 1 (most deprived),Male,<1,68.94,68.61,69.28,45.39,43.23,47.56,65.84
Decile 1 (most deprived),Male,1 to 4,68.29,67.97,68.61,44.85,42.69,47.02,65.69
Decile 1 (most deprived),Male,5 to 9,64.31,63.99,64.63,41.85,39.76,43.93,65.07
Decile 1 (most deprived),Male,10 to 14,59.34,59.02,59.65,37.99,36.04,39.95,64.03
Decile 1 (most deprived),Male,15 to 19,54.40,54.09,54.72,34.04,32.21,35.87,62.57
Decile 1 (most deprived),Male,20 to 24,49.66,49.35,49.97,30.07,28.36,31.79,60.56
Decile 1 (most deprived),Male,25 to 29,45.02,44.72,45.32,26.19,24.53,27.85,58.18
Decile 1 (most deprived),Male,30 to 34,40.44,40.14,40.73,22.38,20.77,24.00,55.36
Decile 1 (most deprived),Male,35 to 39,35.97,35.69,36.26,18.89,17.31,20.46,52.50
