"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,<1,81.03,80.58,81.49,61.37,58.32,64.42,75.74,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,1 to 4,80.34,79.92,80.76,60.72,57.67,63.78,75.58,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,5 to 9,76.41,76.00,76.83,57.26,54.28,60.24,74.93,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,10 to 14,71.45,71.04,71.87,52.94,50.09,55.79,74.09,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,15 to 19,66.50,66.09,66.90,48.67,45.96,51.38,73.19,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,20 to 24,61.54,61.13,61.94,44.48,41.95,47.02,72.28,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,25 to 29,56.63,56.23,57.03,40.39,38.03,42.75,71.32,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,30 to 34,51.71,51.32,52.11,36.33,34.04,38.61,70.25,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,35 to 39,46.80,46.41,47.20,32.36,30.16,34.55,69.13,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,40 to 44,42.03,41.65,42.42,28.55,26.44,30.66,67.92,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,45 to 49,37.42,37.04,37.79,24.95,22.91,26.98,66.68,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,50 to 54,32.80,32.44,33.16,21.42,19.49,23.36,65.31,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,55 to 59,28.36,28.01,28.70,18.11,16.27,19.95,63.86,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,60 to 64,24.04,23.71,24.36,14.96,13.20,16.72,62.25,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,65 to 69,19.94,19.63,20.25,12.03,10.35,13.70,60.31,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,70 to 74,16.05,15.76,16.34,9.27,7.63,10.92,57.78,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,75 to 79,12.36,12.09,12.63,6.76,5.13,8.39,54.65,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,80 to 84,9.20,8.95,9.45,4.79,3.50,6.07,52.04,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,85 to 89,6.50,6.25,6.74,3.25,2.16,4.33,49.97,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,90+,4.43,4.13,4.74,2.25,1.23,3.27,50.70,,,,,,,,,,,,,,,,
