"Table 4: Healthy Life Expectancy HLE estimates by SIMD decile in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
SIMD decile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,
,,,,,,,,,
Decile 1 (most deprived),Female,<1,75.00,74.69,75.30,47.35,45.18,49.52,63.14
Decile 1 (most deprived),Female,1 to 4,74.27,73.97,74.56,46.64,44.46,48.82,62.81
Decile 1 (most deprived),Female,5 to 9,70.30,70.01,70.60,43.21,41.08,45.34,61.46
Decile 1 (most deprived),Female,10 to 14,65.33,65.04,65.62,38.97,36.93,41.01,59.65
Decile 1 (most deprived),Female,15 to 19,60.38,60.09,60.67,34.81,32.87,36.75,57.65
Decile 1 (most deprived),Female,20 to 24,55.51,55.23,55.80,30.85,29.03,32.67,55.57
Decile 1 (most deprived),Female,25 to 29,50.66,50.38,50.94,27.03,25.28,28.78,53.36
Decile 1 (most deprived),Female,30 to 34,45.88,45.60,46.15,23.38,21.70,25.05,50.95
Decile 1 (most deprived),Female,35 to 39,41.16,40.89,41.43,20.00,18.40,21.59,48.59
Decile 1 (most deprived),Female,40 to 44,36.73,36.47,36.98,17.01,15.50,18.51,46.30
Decile 1 (most deprived),Female,45 to 49,32.45,32.21,32.69,14.34,12.92,15.76,44.19
Decile 1 (most deprived),Female,50 to 54,28.31,28.08,28.54,11.97,10.66,13.27,42.28
Decile 1 (most deprived),Female,55 to 59,24.30,24.08,24.52,9.92,8.68,11.15,40.81
Decile 1 (most deprived),Female,60 to 64,20.37,20.17,20.58,8.14,6.97,9.30,39.93
Decile 1 (most deprived),Female,65 to 69,16.84,16.65,17.04,6.52,5.40,7.65,38.73
Decile 1 (most deprived),Female,70 to 74,13.52,13.34,13.71,5.05,3.97,6.13,37.31
Decile 1 (most deprived),Female,75 to 79,10.60,10.43,10.77,3.87,2.77,4.97,36.51
Decile 1 (most deprived),Female,80 to 84,8.07,7.90,8.23,2.91,1.90,3.93,36.13
Decile 1 (most deprived),Female,85 to 89,6.12,5.95,6.30,2.30,1.40,3.21,37.65
Decile 1 (most deprived),Female,90+,4.78,4.53,5.03,1.96,0.96,2.95,40.96
Decile 1 (most deprived),Male,<1,68.61,68.28,68.94,44.93,42.59,47.26,65.48
Decile 1 (most deprived),Male,1 to 4,68.00,67.68,68.32,44.46,42.11,46.80,65.38
Decile 1 (most deprived),Male,5 to 9,64.02,63.71,64.34,41.61,39.36,43.85,64.99
Decile 1 (most deprived),Male,10 to 14,59.05,58.74,59.37,37.92,35.83,40.01,64.21
Decile 1 (most deprived),Male,15 to 19,54.13,53.82,54.45,34.12,32.18,36.06,63.03
Decile 1 (most deprived),Male,20 to 24,49.36,49.05,49.67,30.27,28.47,32.07,61.33
Decile 1 (most deprived),Male,25 to 29,44.77,44.47,45.06,26.52,24.86,28.18,59.24
Decile 1 (most deprived),Male,30 to 34,40.18,39.89,40.47,22.79,21.21,24.38,56.73
Decile 1 (most deprived),Male,35 to 39,35.69,35.40,35.97,19.32,17.82,20.82,54.14
