"Table 5: Healthy Life Expectancy (HLE1) estimates by SIMD quintile in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
SIMD quintile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,
,,,,,,,,,
Quintile 1 (most deprived),Female,<1,75.82,75.60,76.03,49.61,48.08,51.14,65.43
Quintile 1 (most deprived),Female,1 to 4,75.13,74.93,75.34,48.94,47.41,50.48,65.14
Quintile 1 (most deprived),Female,5 to 9,71.19,71.00,71.39,45.52,44.02,47.02,63.93
Quintile 1 (most deprived),Female,10 to 14,66.22,66.03,66.42,41.29,39.86,42.73,62.35
Quintile 1 (most deprived),Female,15 to 19,61.25,61.06,61.45,37.16,35.80,38.52,60.66
Quintile 1 (most deprived),Female,20 to 24,56.35,56.16,56.55,33.21,31.93,34.48,58.93
Quintile 1 (most deprived),Female,25 to 29,51.50,51.31,51.69,29.43,28.21,30.66,57.14
Quintile 1 (most deprived),Female,30 to 34,46.69,46.50,46.88,25.79,24.62,26.96,55.23
Quintile 1 (most deprived),Female,35 to 39,41.96,41.78,42.15,22.37,21.27,23.47,53.31
Quintile 1 (most deprived),Female,40 to 44,37.43,37.25,37.60,19.27,18.22,20.31,51.48
Quintile 1 (most deprived),Female,45 to 49,33.06,32.90,33.23,16.44,15.46,17.42,49.73
Quintile 1 (most deprived),Female,50 to 54,28.85,28.69,29.01,13.87,12.96,14.77,48.07
Quintile 1 (most deprived),Female,55 to 59,24.74,24.59,24.89,11.56,10.71,12.40,46.71
Quintile 1 (most deprived),Female,60 to 64,20.74,20.60,20.88,9.49,8.68,10.29,45.74
Quintile 1 (most deprived),Female,65 to 69,17.08,16.94,17.21,7.61,6.84,8.38,44.56
Quintile 1 (most deprived),Female,70 to 74,13.66,13.53,13.78,5.89,5.14,6.64,43.15
Quintile 1 (most deprived),Female,75 to 79,10.68,10.57,10.80,4.49,3.73,5.25,42.02
Quintile 1 (most deprived),Female,80 to 84,8.09,7.98,8.20,3.35,2.67,4.03,41.37
Quintile 1 (most deprived),Female,85 to 89,6.00,5.89,6.11,2.50,1.91,3.09,41.63
Quintile 1 (most deprived),Female,90+,4.43,4.28,4.58,1.94,1.34,2.55,43.88
Quintile 1 (most deprived),Male,<1,69.95,69.72,70.18,47.67,46.19,49.15,68.16
Quintile 1 (most deprived),Male,1 to 4,69.32,69.10,69.54,47.08,45.59,48.56,67.91
Quintile 1 (most deprived),Male,5 to 9,65.36,65.14,65.58,43.72,42.28,45.17,66.89
Quintile 1 (most deprived),Male,10 to 14,60.38,60.16,60.60,39.53,38.15,40.90,65.47
Quintile 1 (most deprived),Male,15 to 19,55.43,55.21,55.64,35.37,34.07,36.67,63.81
Quintile 1 (most deprived),Male,20 to 24,50.65,50.44,50.86,31.35,30.14,32.57,61.90
Quintile 1 (most deprived),Male,25 to 29,45.99,45.79,46.20,27.48,26.33,28.63,59.75
Quintile 1 (most deprived),Male,30 to 34,41.37,41.16,41.57,23.72,22.64,24.81,57.35
